47,5
10,12
17,3
47,29
18,43
21,31
12,49
37,36
45,45
40,26
1,19
46,25
27,11
29,18
10,2
15,42
17,9
21,37
33,4
6,20
6,26
14,29
0,41
44,47
32,23
29,10
2,38
41,45
13,44
28,11
6,42
3,21
31,43
30,38
10,8
21,16
29,6
11,4
34,38
43,6
0,2
36,25
43,19
33,8
17,13
29,47
8,48
22,18
44,35
26,45
30,32
26,31
44,48
5,27
28,30
42,49
1,17
44,36
11,16
6,8
46,31
48,43
25,47
49,28
16,28
45,7
34,25
40,0
6,7
30,16
14,45
16,30
16,43
39,29
32,25
40,22
36,5
14,10
47,30
2,25
7,13
33,47
25,34
16,19
45,33
1,46
30,2
29,5
34,17
23,45
21,16
6,46
47,37
21,34
16,11
25,45
38,32
18,45
0,12
33,23
24,0
2,34
10,47
2,8
47,6
14,9
13,17
21,12
49,39
34,46
15,29
23,25
29,29
38,46
11,37
13,3
39,32
49,19
26,14
24,27
11,12
48,25
14,28
34,22
49,25
0,43
41,1
33,9
20,16
35,29
46,22
48,9
22,14
6,2
27,32
4,21
11,41
21,32
1,30
27,13
28,42
39,26
32,14
26,47
34,46
39,15
14,29
23,44
30,46
29,30
21,4
19,26
27,6
41,12
22,17
11,45
26,21
21,14
0,7
38,15
38,41
38,39
6,29
29,41
41,38
10,47
9,9
46,28
22,19
44,22
12,31
14,19
1,9
18,18
28,48
30,23
16,39
30,34
20,19
3,38
12,49
45,44
0,47
42,49
32,5
47,24
29,17
19,26
28,16
22,27
23,9
36,7
10,39
48,19
49,27
14,33
34,3
14,2
10,9
18,49
3,32
10,33
0,34
14,3
14,14
47,27
31,27
25,3
21,9
28,20
31,21
26,38
22,6
25,13
11,30
5,21
18,16
18,24
2,42
18,30
9,41
15,15
13,9
13,46
25,5
11,2
26,25
45,43
39,4
12,32
14,16
6,25
46,37
43,43
11,14
28,10
45,40
4,46
20,42
31,16
0,43
27,42
4,23
30,23
8,22
29,45
28,14
46,13
17,47
18,45
4,15
43,3
1,29
36,43
4,23
44,39
7,38
3,46
33,15
34,18
49,5
8,36
30,47
17,21
17,31
29,11
45,40
13,3
49,48
32,13
45,14
41,12
9,44
11,35
25,35
2,4
34,28
39,16
18,47
10,17
17,40
39,18
15,4
6,36
47,26
0,46
40,49
5,20
24,11
4,39
35,49
40,21
15,33
3,46
26,3
35,32
19,8
29,29
36,13
2,32
40,39
43,25
2,27
9,5
4,32
29,36
42,9
17,8
12,11
36,18
23,46
3,16
37,35
37,22
16,23
13,27
15,25
7,39
10,17
10,12
28,33
18,49
47,27
22,17
43,11
35,0
18,26
22,43
34,27
14,12
35,35
18,38
16,5
41,39
26,26
37,27
4,37
26,17
8,1
34,12
30,15
5,10
5,38
11,5
15,34
5,42
35,33
40,21
9,1
39,30
32,43
5,30
33,0
38,2
41,3
43,19
26,25
42,27
16,25
43,16
10,35
24,29
22,3
20,28
15,5
13,8
45,42
16,46
45,20
12,48
28,5
10,8
11,12
3,24
3,10
27,35
13,2
43,32
6,35
33,44
40,16
37,44
32,12
21,17
32,29
20,29
2,3
43,49
9,29
29,33
38,11
46,22
23,4
10,10
13,22
34,34
13,48
21,45
43,2
42,16
3,13
45,14
37,1
33,46
14,11
32,46
47,33
29,43
28,37
17,12
35,41
5,20
32,35
13,26
48,36
40,30
5,29
36,2
5,38
13,2
43,49
4,22
43,45
15,8
46,35
19,8
39,15
37,3
13,39
23,46
42,33
43,42
2,46
35,37
18,18
1,39
19,16
29,5
3,35
3,33
14,48
35,1
35,30
48,29
5,8
21,27
34,22
30,35
6,22
31,49
49,19
43,37
38,43
21,45
3,44
18,6
29,26
19,28
34,9
4,7
2,45
31,20
43,1
11,23
4,14
9,37
8,46
26,29
3,8
14,18
45,43
39,34
31,13
44,35
27,9
24,43
9,9
25,44
39,17
34,27
48,27
29,31
5,32
34,25
30,45
36,3
23,14
41,13
0,49
7,15
44,26
10,48
29,4
13,46
22,29
8,35
11,38
34,15
47,30
47,20
11,21
14,12
37,44
19,49
39,23
26,36
42,43
48,21
36,32
3,25
25,31
27,13
11,11
34,26
35,22
14,3
15,8
31,26
33,22
12,32
18,26
10,8
29,37
27,30
32,25
33,22
9,30
17,49
24,44
48,38
44,9
14,2
37,7
